#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	Assembly_name	Gene_observation_ID
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241908/ERR2241908.scaffolds.fasta	NODE_11348_length_3818_cov_2.740284	2109	2966	-	ant(6)-Ib_1_FN594949	1-858/858	===============	0/0	100.00	100.00	user_db	ant(6)-Ib_1_FN594949	effort_MG_ERR2241908	i1
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241908/ERR2241908.scaffolds.fasta	NODE_2536_length_8338_cov_3.988365	1981	3465	+	lsa(E)_1_JX560992	1-1485/1485	===============	0/0	100.00	100.00	user_db	lsa(E)_1_JX560992	effort_MG_ERR2241908	i2
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241908/ERR2241908.scaffolds.fasta	NODE_2536_length_8338_cov_3.988365	3519	4322	+	lnu(B)_2_JQ861959	1-804/804	===============	0/0	100.00	100.00	user_db	lnu(B)_2_JQ861959	effort_MG_ERR2241908	i3
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241908/ERR2241908.scaffolds.fasta	NODE_3834_length_6769_cov_10.105657	2556	3356	+	erm(F)_3_M17808	1-801/801	===============	0/0	100.00	100.00	user_db	erm(F)_3_M17808	effort_MG_ERR2241908	i4
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241908/ERR2241908.scaffolds.fasta	NODE_3834_length_6769_cov_10.105657	3569	4735	-	tet(X)_2_M37699	1-1167/1167	===============	0/0	100.00	99.83	user_db	tet(X)_2_M37699	effort_MG_ERR2241908	i5
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241916/ERR2241916.scaffolds.fasta	NODE_2349_length_10391_cov_2.299010	976	1941	+	cfxA4_1_AY769933	1-966/966	===============	0/0	100.00	99.69	user_db	cfxA4_1_AY769933	effort_MG_ERR2241916	i6
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241922/ERR2241922.scaffolds.fasta	NODE_11582_length_3140_cov_0.959057	1135	1929	-	aph(3')-III_1_M26832	1-795/795	===============	0/0	100.00	100.00	user_db	aph(3')-III_1_M26832	effort_MG_ERR2241922	i7
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241922/ERR2241922.scaffolds.fasta	NODE_2433_length_7019_cov_5.097663	1854	3020	+	tet(X)_2_M37699	1-1167/1167	===============	0/0	100.00	99.83	user_db	tet(X)_2_M37699	effort_MG_ERR2241922	i8
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241922/ERR2241922.scaffolds.fasta	NODE_2433_length_7019_cov_5.097663	3233	4033	-	erm(F)_3_M17808	1-801/801	===============	0/0	100.00	100.00	user_db	erm(F)_3_M17808	effort_MG_ERR2241922	i9
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241922/ERR2241922.scaffolds.fasta	NODE_841_length_10845_cov_2.312883	875	1840	+	cfxA4_1_AY769933	1-966/966	===============	0/0	100.00	99.69	user_db	cfxA4_1_AY769933	effort_MG_ERR2241922	i10
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241922/ERR2241922.scaffolds.fasta	NODE_8971_length_3605_cov_1.020750	1305	2159	+	blaACI-1_1_AJ007350	1-855/855	===============	0/0	100.00	100.00	user_db	blaACI-1_1_AJ007350	effort_MG_ERR2241922	i11
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2245490/ERR2245490.scaffolds.fasta	NODE_2855_length_5590_cov_3.469156	3806	4840	-	Cfr(E)_1_NG_070225	1-1035/1035	===============	0/0	100.00	100.00	user_db	Cfr(E)_1_NG_070225	effort_MG_ERR2245490	i12
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2245490/ERR2245490.scaffolds.fasta	NODE_3965_length_4983_cov_1.494646	1241	2206	+	cfxA4_1_AY769933	1-966/966	===============	0/0	100.00	99.69	user_db	cfxA4_1_AY769933	effort_MG_ERR2245490	i13
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2245490/ERR2245490.scaffolds.fasta	NODE_8464_length_3720_cov_1.673810	925	1719	-	aph(3')-III_1_M26832	1-795/795	===============	0/0	100.00	100.00	user_db	aph(3')-III_1_M26832	effort_MG_ERR2245490	i14
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241938/ERR2241938.scaffolds.fasta	NODE_1335_length_9705_cov_2.310399	2201	3004	-	lnu(B)_2_JQ861959	1-804/804	===============	0/0	100.00	100.00	user_db	lnu(B)_2_JQ861959	effort_MG_ERR2241938	i15
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241938/ERR2241938.scaffolds.fasta	NODE_1335_length_9705_cov_2.310399	3058	4542	-	lsa(E)_1_JX560992	1-1485/1485	===============	0/0	100.00	100.00	user_db	lsa(E)_1_JX560992	effort_MG_ERR2241938	i16
/home/projects/cge/data/projects/other/EFFORT_danish_pigs_MG_assembled_with_sandhog/assembly/ERR2241938/ERR2241938.scaffolds.fasta	NODE_2632_length_7435_cov_50.771210	4193	4927	-	erm(G)_1_M15332	1-735/735	===============	0/0	100.00	99.18	user_db	erm(G)_1_M15332	effort_MG_ERR2241938	i17
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1267-PRJ1147-Escherichia-coli-800202002_R1_001.fa	NODE_13_length_111033_cov_13.082331	9594	13043	-	sitABCD_1_AY598030	1-3459/3459	========/======	3/9	99.74	97.46	user_db	sitABCD_1_AY598030	effort_SI_ERR4843771	i18
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1270-PRJ1147-Escherichia-coli-800202008_R1_001.fa	NODE_59_length_9821_cov_17.752527	4386	5632	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843774	i19
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1270-PRJ1147-Escherichia-coli-800202008_R1_001.fa	NODE_88_length_3030_cov_22.629004	1170	2135	-	ant(3'')-Ia_1_X02340	1-970/972	========/======	2/4	99.38	93.20	user_db	ant(3'')-Ia_1_X02340	effort_SI_ERR4843774	i20
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1271-PRJ1147-Escherichia-coli-800202010_R1_001.fa	NODE_105_length_3011_cov_2.663315	1151	2116	-	ant(3'')-Ia_1_X02340	1-970/972	========/======	2/4	99.38	93.20	user_db	ant(3'')-Ia_1_X02340	effort_SI_ERR4843775	i21
