#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	CONTIG_LENGTH	METADATA	ASSEMBLY_NAME	OBSERVATION_ID
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_2_length_385120_cov_8.557852	342943	344118	-	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.66	385120	metadata	DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DT1
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_6_length_267401_cov_7.730775	114109	114969	+	blaSHV-172_1_KF513177	1-861/861	===============	0/0	100.00	99.88	267401	metadata	DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DT2
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-900-PRJ1139-Klebsiella-pneumoniae-1D-908_R1_001.fa	NODE_57_length_3774_cov_3.848643	1769	2953	-	tet(D)_1_AF467077	1-1185/1185	===============	0/0	100.00	100.00	3774	metadata	DTU2019_900_PRJ1139_Klebsiella_pneumoniae_1D-908	DT3
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-901-PRJ1139-Escherichia-coli-1D-909_R1_001.fa	NODE_21_length_66302_cov_15.681783	16244	17104	-	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	100.00	66302	metadata	DTU2019_901_PRJ1139_Escherichia_coli_1D-909	DT4
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-901-PRJ1139-Escherichia-coli-1D-909_R1_001.fa	NODE_31_length_15631_cov_16.815144	11755	15204	-	sitABCD_1_AY598030	1-3459/3459	========/======	3/9	99.74	99.62	15631	metadata	DTU2019_901_PRJ1139_Escherichia_coli_1D-909	DT5
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-902-PRJ1139-Escherichia-coli-1D-910_R1_001.fa	NODE_20_length_69223_cov_27.723747	4139	5344	+	tet(B)_2_AF326777	1-1206/1206	===============	0/0	100.00	99.92	69223	metadata	DTU2019_902_PRJ1139_Escherichia_coli_1D-910	DT6
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-902-PRJ1139-Escherichia-coli-1D-910_R1_001.fa	NODE_20_length_69223_cov_27.723747	15179	16039	-	blaTEM-1D_1_AF188200	1-861/861	===============	0/0	100.00	100.00	69223	metadata	DTU2019_902_PRJ1139_Escherichia_coli_1D-910	DT7
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	71878	72693	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	95676	metadata	DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DT8
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	72754	73557	+	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	95676	metadata	DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DT9
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	73813	74673	-	blaTEM-1C_1_FJ560503	1-861/861	===============	0/0	100.00	100.00	95676	metadata	DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DT10
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-904-PRJ1139-Escherichia-coli-1D-912_R1_001.fa	NODE_21_length_55587_cov_22.103426	8897	9757	+	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	99.88	55587	metadata	DTU2019_904_PRJ1139_Escherichia_coli_1D-912	DT11
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-905-PRJ1139-Escherichia-coli-1D-913_R1_001.fa	NODE_41_length_5149_cov_24.880023	301	3750	+	sitABCD_1_AY598030	1-3459/3459	========/======	3/9	99.74	99.59	5149	metadata	DTU2019_905_PRJ1139_Escherichia_coli_1D-913	DT12
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	21185	22021	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	62605	metadata	DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DT13
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	22021	22823	-	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	62605	metadata	DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DT14
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	32010	32483	+	dfrA17_1_FJ460238	1-474/474	===============	0/0	100.00	100.00	62605	metadata	DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DT15
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	32614	33402	+	aadA5_1_AF137361	1-789/789	===============	0/0	100.00	100.00	62605	metadata	DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DT16
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	35804	36619	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	62605	metadata	DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DT17
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_21_length_45685_cov_17.889394	1892	2767	+	blaCTX-M-1_1_DQ915955	1-876/876	===============	0/0	100.00	100.00	45685	metadata	DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DT18
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_17_length_72444_cov_55.394195	7140	8000	-	blaTEM-1A_1_HM749966	1-861/861	===============	0/0	100.00	100.00	72444	metadata	DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DT19
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_17_length_72444_cov_55.394195	67559	68374	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	72444	metadata	DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DT20
