#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	CONTIG_LENGTH	METADATA	ASSEMBLY_NAME	OBSERVATION_ID	VARIANT
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_2_length_385120_cov_8.557852	339767	342919	-	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	98.83	385120	Klebsiella	DK_DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DK1	v_18
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_2_length_385120_cov_8.557852	342943	344118	-	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.66	385120	Klebsiella	DK_DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DK2	v_19
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_6_length_267401_cov_7.730775	114109	114969	+	blaSHV-172_1_KF513177	1-861/861	===============	0/0	100.00	99.88	267401	Klebsiella	DK_DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DK3	v_20
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-900-PRJ1139-Klebsiella-pneumoniae-1D-908_R1_001.fa	NODE_1_length_449725_cov_4.624220	61086	62261	+	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	98.98	449725	Klebsiella	DK_DTU2019_900_PRJ1139_Klebsiella_pneumoniae_1D-908	DK4	v_21
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-900-PRJ1139-Klebsiella-pneumoniae-1D-908_R1_001.fa	NODE_1_length_449725_cov_4.624220	62285	65437	+	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	98.98	449725	Klebsiella	DK_DTU2019_900_PRJ1139_Klebsiella_pneumoniae_1D-908	DK5	v_5
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-901-PRJ1139-Escherichia-coli-1D-909_R1_001.fa	NODE_21_length_66302_cov_15.681783	16244	17104	-	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	100.00	66302	Escherichia	DK_DTU2019_901_PRJ1139_Escherichia_coli_1D-909	DK7	v_23
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-902-PRJ1139-Escherichia-coli-1D-910_R1_001.fa	NODE_20_length_69223_cov_27.723747	4139	5344	+	tet(B)_2_AF326777	1-1206/1206	===============	0/0	100.00	99.92	69223	Escherichia	DK_DTU2019_902_PRJ1139_Escherichia_coli_1D-910	DK9	v_25
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-902-PRJ1139-Escherichia-coli-1D-910_R1_001.fa	NODE_20_length_69223_cov_27.723747	15179	16039	-	blaTEM-1D_1_AF188200	1-861/861	===============	0/0	100.00	100.00	69223	Escherichia	DK_DTU2019_902_PRJ1139_Escherichia_coli_1D-910	DK10	v_26
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	71878	72693	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	95676	Escherichia	DK_DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DK11	v_27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	72754	73557	+	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	95676	Escherichia	DK_DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DK12	v_28
